text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
44 men came home because Chuck Kettles believed that we leave no man behind. That's America at our best. https://t.co/UymO2AaRHg,FALSE,13949,NA,2016-07-18 14:15:01,FALSE,NA,7.55043199731675E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,3567,FALSE,FALSE,NA,NA
"Congrats Carla Hayden, our newest Librarian of Congress! Her confirmation is certainly one for the history books.
https://t.co/5T8rvSRp9e",FALSE,20612,NA,2016-07-14 01:38:58,FALSE,NA,7.53403382744781E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,6700,FALSE,FALSE,NA,NA
"Incredible! After a 5-year journey, we're up close and personal with our solar system's largest planet. Welcome to Jupiter, @NASAJuno!",FALSE,38826,NA,2016-07-05 17:21:09,FALSE,NA,7.50379001546416E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,9670,FALSE,FALSE,NA,NA
"Happy Fourth of July, everybody! And to our brave men and women in uniform: On this day and every day, we thank you.",FALSE,49766,NA,2016-07-04 14:00:12,FALSE,NA,7.49966042135294E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,16843,FALSE,FALSE,NA,NA
Elie Wiesel was a great moral voice of our time and a conscience for our world. He was also a dear friend. We will miss him deeply.,FALSE,51632,NA,2016-07-02 23:06:02,FALSE,NA,7.49378629822546E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,18165,FALSE,FALSE,NA,NA
"The list goes on. When Members return, I hope they'll share my commitment to work together to do what must be done. https://t.co/l8nChcXpml",FALSE,8429,POTUS44,2016-06-30 20:58:10,FALSE,7.48621170015076E+017,7.48621673578959E+017,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,3758,FALSE,FALSE,NA,NA
Americans still need and are asking Congress to pass commonsense gun laws that strengthen background checks and keep our communities safe.,FALSE,8293,POTUS44,2016-06-30 20:56:10,FALSE,7.48620897309757E+017,7.48621170015076E+017,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,2706,FALSE,FALSE,NA,NA
"After more than 100 days, the Supreme Court still needs its 9th judge, but the Senate GOP refuses to do its job and consider Judge Garland.",FALSE,6511,POTUS44,2016-06-30 20:55:05,FALSE,7.48620582216884E+017,7.48620897309757E+017,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,2992,FALSE,FALSE,NA,NA
Congress is leaving a hefty to-do list undone. Health officials still need emergency funding to effectively protect Americans from Zika.,FALSE,3638,POTUS44,2016-06-30 20:53:50,FALSE,7.48620388175798E+017,7.48620582216884E+017,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,1415,FALSE,FALSE,NA,NA
Proud to sign laws to improve transparency and avert a crisis in Puerto Rico. I'd hoped to use my pen more often before Congress left town.,FALSE,13925,NA,2016-06-30 20:53:03,FALSE,NA,7.48620388175798E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,3146,FALSE,FALSE,NA,NA
