"Id","Label","ratingAvg","ratedbyAvg","grossAvg"
768296,"Sharat Saxena",0,0,0
4695372,"Vijay S. Bhanushali",0,0,0
10501607,"Himanshu Binekar",0,0,0
8001235,"Rajesh Patole",0,0,0
13823823,"Manish Thakur",0,0,0
12338222,"Ugresh Prasad Ujala",0,0,0
12144178,"Prakash Tiwari Madhur",0,0,0
12389677,"Maahi Kapoor",0,0,0
11656810,"Hemanth Naik K. Holalkere",0,0,0
4992730,"Swadesh",0,0,0
11112112,"Jabir Ali",0,0,0
9745490,"Jacob Paul",0,0,0
5527090,"Nishant Tripathi",0,0,0
10963295,"Jeeshan Ali",0,0,0
10990646,"Deepak Saraswat",0,0,0
6679620,"Sanjiv Kolte",0,0,0
10680953,"Shammi Chhabra",0,0,0
12681972,"Aadiz Imran",0,0,0
12576419,"Sandeep Sushil Sinha",0,0,0
8462945,"Tamjeed Elahi Khan",0,0,0
4384009,"Radio Mirchi",0,0,0
10280561,"Arpan Roychowdhury",0,0,0
11515012,"Ashish Kumar",0,0,0
11179985,"Sanjoy",4.8,0,0
6379825,"Sritama Dutta",0,0,0
9803441,"Natin Mishra",0,0,0
8213392,"Anil Gajraj",0,0,0
2590742,"Danish Iqbal",0,0,0
1235947,"Jayprakkash Shaw",0,0,0
4732567,"Sharvan Anenden",0,0,0
10244865,"Shahid Kazmi",0,0,0
11457122,"Deshraj Saurot",0,0,0
10594913,"Chandan Jaiswal",0,0,0
5901246,"Abhimanyu Chaudhary",0,0,0
8126395,"Bhanu Pratap Singh",0,0,0
11177153,"Deepti Khurana",0,0,0
9809820,"Datta Mirkute",0,0,0
451222,"Hamid Ali",0,0,0
7235566,"Rohit Aarrya",0,0,0
11297149,"Victor Mukherjee",0,0,0
7524991,"Pavel Singh",0,0,0
12363636,"Bikram Malati",0,0,0
9467928,"Daksh Chadha",0,0,0
8993738,"Pramod Sharma",0,0,0
8968311,"Arjun Rao",0,0,0
11059384,"Yogesh Mehra",0,0,0
5050736,"Sam Khan",0,0,0
11167422,"Dinesh Chaudhary",0,0,0
9288222,"Paresh Vinodray Savani",7.925,0,0
9142317,"Amit Chauhan",0,0,0
11127855,"Santosh Gupta",0,0,0
2655736,"Suman Mukhopadhyay",0,0,0
11770374,"Subhanjan",0,0,0
7319949,"Sanoj Mishra",0,0,0
7664950,"Apoorva Marur",0,0,0
11770431,"Raja Bhargav",0,0,0
11026219,"Ayush Upadhyay",8.6,0,0
10658048,"Manoj Kumar",0,0,0
10576580,"Vandana Sharma",0,0,0
10550385,"Som Vats",0,0,0
13890769,"Dipak A Tripathi",0,0,0
2186504,"Dilip Deo",0,0,0
11093744,"Aman Khan",0,0,0
10539471,"Bijoy Banerjee",0,0,0
9363055,"Azad Hussain",0,0,0
3284094,"Amit Ojha",0,0,0
10916426,"P. Chandrakanth",0,0,0
5414667,"Ashok Kohli",0,0,0
11602949,"Deepak Sharma",0,0,0
10585937,"Rudrapatla Venugopal",0,0,0
6470347,"Dhansheel Kumar",5.2,0,0
8773502,"Ajit Devle",0,0,0
7987302,"Sachin Gupta",0,0,0
12576004,"Farukh Khan",0,0,0
10152662,"Prem Soni",0,0,0
11101006,"Prabhash Chandra",8.4,0,0
11154928,"Utkarsh Dev",6.3,0,0
7360359,"Paresh Patel",0,0,0
12087058,"D.P. Singh",0,0,0
10971117,"Aquil Haider",0,0,0
2199272,"Raama Mehra",0,0,0
10031641,"Suryakant Tyagi",0,0,0
10982533,"Keval Shah",0,0,0
7219423,"Shubhendu Lalit",0,0,0
12078841,"Prem Mohan Girdhani",0,0,0
11220898,"Avnish Kumar Singh",0,0,0
4470677,"Prabal Baruah",0,0,0
9147465,"Pratyush Upadhyay",0,0,0
5866865,"Anil Mumtaz",0,0,0
11188951,"Shravan Kumar Rathore",0,0,0
9742563,"Jacob Paul",0,0,0
7633557,"Mohit Pal",0,0,0
9109906,"Ronit Jadhav",8.84285714285714,0,0
9669504,"Ravinddra Khare",8.6,0,0
10369616,"Alam Siddiqui",0,0,0
12756443,"Niloy Bishwas Kanti",0,0,0
